first_name,second_name,id,web_name,now_cost,cost_change_start,element_type,selected_by_percent,team,team_code,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,bonus,bps
David,Luiz Moreira Marinho,106,David Luiz,58,-2,2,5.1,1,3,35,1260,2,0,1,23,3,0,0,3,217
Emiliano,Martínez,427,Martínez,43,-2,1,0.3,1,3,0,0,0,0,0,0,0,0,0,0,0
Calum,Chambers,467,Chambers,44,-1,2,1.3,1,3,29,900,1,0,2,12,4,0,0,2,141
Daniel,Ceballos Fernández,469,Ceballos,53,-2,3,3.5,1,3,27,659,0,2,1,10,0,0,0,3,130
Nicolas,Pépé,488,Pépé,91,-4,3,2.2,1,3,45,916,2,3,1,16,2,0,0,4,151
Reiss,Nelson,489,Nelson,53,-2,3,0.1,1,3,6,152,0,0,1,2,1,0,0,0,18
Joseph,Willock,490,Willock,48,-2,3,0.2,1,3,17,482,0,0,1,9,0,0,0,0,76
Gabriel Teodoro,Martinelli Silva,504,Martinelli,45,0,4,1.8,1,3,16,186,1,1,0,3,1,0,0,1,51
Kieran,Tierney,515,Tierney,54,-1,2,0.6,1,3,5,296,0,0,0,6,1,0,0,0,51
Bukayo,Saka,541,Saka,45,0,3,0.6,1,3,13,354,0,1,1,4,1,0,0,0,44
Ahmed,El Mohamady,22,El Mohamady,42,-3,2,1.0,2,7,13,431,0,1,0,15,0,0,0,5,102
James,Chester,23,Chester,43,-2,2,0.1,2,7,0,0,0,0,0,0,0,0,0,0,0
Neil,Taylor,24,Taylor,44,-1,2,0.3,2,7,17,613,0,0,2,12,1,0,0,0,98
Kortney,Hause,25,Hause,44,-1,2,0.1,2,7,0,0,0,0,0,0,0,0,0,0,0
Jonathan,Kodjia,26,Kodjia,54,-1,4,0.1,2,7,2,20,0,0,0,4,0,0,0,0,7
Ørjan,Nyland,27,Nyland,43,-2,1,0.2,2,7,2,82,0,0,0,2,0,0,3,0,13
Conor,Hourihane,28,Hourihane,57,-3,3,0.2,2,7,36,578,2,2,2,11,2,0,0,4,135
Jack,Grealish,29,Grealish,61,1,3,7.9,2,7,66,1253,4,4,3,24,4,0,0,7,281
Anwar,El Ghazi,30,El Ghazi,55,0,3,1.2,2,7,54,942,3,4,3,18,1,0,0,0,177
John,McGinn,31,McGinn,58,3,3,8.7,2,7,58,1440,3,2,3,28,2,0,0,4,234
Andre,Green,32,Green,49,-1,3,0.0,2,7,0,0,0,0,0,0,0,0,0,0,0
Birkir,Bjarnason,33,Bjarnason,45,0,3,0.0,2,7,0,0,0,0,0,0,0,0,0,0,0
Keinan,Davis,34,Davis,43,-2,3,0.3,2,7,6,74,0,0,0,1,0,0,0,0,16
Henri,Lansbury,35,Lansbury,44,-1,3,0.5,2,7,5,40,0,0,0,1,0,0,0,0,14
